label,metric,fejer_set_all,fejer_set_frac,worst_violation,worst_y_idx,worst_t_idx,n_y,T_iter
pTll_106_170,L1,1,1.0,-7.105427357601002e-15,1,12,2048,12
pTll_170_350,L1,1,1.0,-3.552713678800501e-15,0,12,2048,12
pTll_50_76,L1,1,1.0,-3.552713678800501e-15,1,12,2048,12
pTll_76_106,L1,1,1.0,-3.907985046680551e-14,0,12,2048,12
phistar_50_76,L1,1,1.0,-1.2789769243681803e-13,0,12,2048,12
pTll_106_170,MDL,1,1.0,-7.105427357601002e-15,1,12,2048,12
pTll_170_350,MDL,1,1.0,-3.552713678800501e-15,0,12,2048,12
pTll_50_76,MDL,1,1.0,-3.552713678800501e-15,0,12,2048,12
pTll_76_106,MDL,1,1.0,-3.907985046680551e-14,6,12,2048,12
phistar_50_76,MDL,1,1.0,-1.2789769243681803e-13,0,12,2048,12
