label,signature_name,fejer_set_frac,worst_violation,fejer_mean,fejer_min,worst_max,n_labels
pTll_106_170,"all_pos_(5,0)",1.0,0.0,1.0,1.0,0.0,5
pTll_106_170,"one_neg_(4,1)_b4",0.8980994591346154,8.853445324479015e-05,0.8843674879807694,0.8294771634615384,0.053918546904918895,5
pTll_106_170,"one_neg_(4,1)_b0",0.7940955528846154,0.0002813288491046468,0.8070913461538461,0.7225811298076923,0.055205038208722135,5
pTll_106_170,"two_neg_(3,2)",0.8980994591346154,8.849623720677546e-05,0.8843674879807694,0.8294771634615384,0.05391857943218631,5
pTll_106_170,"split_(2,2)_+0",0.8381911057692307,0.00011588180498580541,0.8070237379807692,0.6846454326923077,0.060984046376217065,5
pTll_106_170,"three_neg_(2,3)",0.7626577524038461,0.00018961369123778396,0.7280123197115385,0.5806039663461539,0.05795725415141903,5
pTll_170_350,"all_pos_(5,0)",1.0,0.0,1.0,1.0,0.0,5
pTll_170_350,"one_neg_(4,1)_b4",0.9214242788461539,8.741989998700683e-07,0.8843674879807694,0.8294771634615384,0.053918546904918895,5
pTll_170_350,"one_neg_(4,1)_b0",0.81494140625,1.9526839448984895e-06,0.8070913461538461,0.7225811298076923,0.055205038208722135,5
pTll_170_350,"two_neg_(3,2)",0.9214242788461539,8.736183885957316e-07,0.8843674879807694,0.8294771634615384,0.05391857943218631,5
pTll_170_350,"split_(2,2)_+0",0.8774038461538461,3.2624595524589906e-06,0.8070237379807692,0.6846454326923077,0.060984046376217065,5
pTll_170_350,"three_neg_(2,3)",0.8217397836538461,2.2301809777611897e-06,0.7280123197115385,0.5806039663461539,0.05795725415141903,5
pTll_50_76,"all_pos_(5,0)",1.0,0.0,1.0,1.0,0.0,5
pTll_50_76,"one_neg_(4,1)_b4",0.8907752403846154,0.00031209622544632436,0.8843674879807694,0.8294771634615384,0.053918546904918895,5
pTll_50_76,"one_neg_(4,1)_b0",0.8044245793269231,0.0006541480974525983,0.8070913461538461,0.7225811298076923,0.055205038208722135,5
pTll_50_76,"two_neg_(3,2)",0.8907752403846154,0.0003120566107862547,0.8843674879807694,0.8294771634615384,0.05391857943218631,5
pTll_50_76,"split_(2,2)_+0",0.8309420072115384,0.00039302476716408796,0.8070237379807692,0.6846454326923077,0.060984046376217065,5
pTll_50_76,"three_neg_(2,3)",0.7497370793269231,0.00013769371202573127,0.7280123197115385,0.5806039663461539,0.05795725415141903,5
pTll_76_106,"all_pos_(5,0)",1.0,0.0,1.0,1.0,0.0,5
pTll_76_106,"one_neg_(4,1)_b4",0.8294771634615384,0.008724326014429483,0.8843674879807694,0.8294771634615384,0.053918546904918895,5
pTll_76_106,"one_neg_(4,1)_b0",0.8994140625,0.010894358053643333,0.8070913461538461,0.7225811298076923,0.055205038208722135,5
pTll_76_106,"two_neg_(3,2)",0.8294771634615384,0.00872461604552591,0.8843674879807694,0.8294771634615384,0.05391857943218631,5
pTll_76_106,"split_(2,2)_+0",0.6846454326923077,0.01332644278225588,0.8070237379807692,0.6846454326923077,0.060984046376217065,5
pTll_76_106,"three_neg_(2,3)",0.5806039663461539,0.009234735790389078,0.7280123197115385,0.5806039663461539,0.05795725415141903,5
phistar_50_76,"all_pos_(5,0)",1.0,0.0,1.0,1.0,0.0,5
phistar_50_76,"one_neg_(4,1)_b4",0.8820612980769231,0.053918546904918895,0.8843674879807694,0.8294771634615384,0.053918546904918895,5
phistar_50_76,"one_neg_(4,1)_b0",0.7225811298076923,0.055205038208722135,0.8070913461538461,0.7225811298076923,0.055205038208722135,5
phistar_50_76,"two_neg_(3,2)",0.8820612980769231,0.05391857943218631,0.8843674879807694,0.8294771634615384,0.05391857943218631,5
phistar_50_76,"split_(2,2)_+0",0.8039362980769231,0.060984046376217065,0.8070237379807692,0.6846454326923077,0.060984046376217065,5
phistar_50_76,"three_neg_(2,3)",0.7253230168269231,0.05795725415141903,0.7280123197115385,0.5806039663461539,0.05795725415141903,5
