label,step_from,step_to,dA,Qd,violation,dv_pnorm,dv_dnorm,dv_arrow
ptll_76_106_table,8,9,1.0,5.605706909066828,5.605706909065828,1.1039351672149156,-2.652805243591251,-0.46151478626863707
ptll_76_106_table,7,8,1.0,1.2826128974210471,1.282612897420047,0.4952568194587972,-1.274127084877402,-0.30904306136313053
ptll_76_106_table,9,10,1.0,0.6451199694930846,0.6451199694920846,0.3977677811698914,-0.9096332454271492,-0.15522069435621333
ptll_76_106_table,10,11,1.0,0.009995335927941034,0.009995335926941034,0.05024677753991291,-0.113559955447232,-0.01938527534214529
z_pt_7tev_atlas,0,1,1.0,0.0015393314357533012,0.0015393314347533012,-0.031613562476793255,-0.11319373508670359,-0.10136110148696797
ptll_76_106_table,11,12,1.0,0.0001049135074578463,0.0001049135064578463,0.0051564509254475865,-0.0116387369548741,-0.0019893979743521584
pTll_76_106,0,1,1.0,0.00010162693358069296,0.00010162693258069296,0.004475899972733011,-0.0181440840538224,-0.014406497562057474
z_pt_7tev_atlas,1,2,1.0,1.5314781356259326e-05,1.5314780356259327e-05,-0.0031593175542701246,-0.011593576815196401,-0.010445810385263599
ttbar_mtt_8tev_cms,0,1,1.0,7.799390377316103e-06,7.799389377316104e-06,-0.0003638768422948857,-0.0031645203456238,-0.0014430496471682375
pTll_106_170,0,1,1.0,2.0951229924057923e-06,2.0951219924057925e-06,0.0009717957358414964,-0.002013054185256,-0.0010064180086679642
pTll_76_106,1,2,1.0,1.0171232079570608e-06,1.0171222079570608e-06,0.0004507971681455558,-0.0018233860184032002,-0.0014506533966951451
pTll_50_76,0,1,1.0,6.075419103101211e-07,6.075409103101211e-07,0.00045650225502669173,-0.0022914187782085,-0.0021058641451841
z_pt_7tev_atlas,2,3,1.0,1.503461450136606e-07,1.503451450136606e-07,-0.0003157486402800558,-0.0011621667695786,-0.001049089248567725
ttbar_mtt_8tev_cms,1,2,1.0,7.226394489397821e-08,7.226294489397821e-08,-3.955907314878715e-05,-0.00031680096377537044,-0.00016289255810697512
pTll_106_170,1,2,1.0,1.988759509008462e-08,1.988659509008462e-08,9.545084594453357e-05,-0.00020146934987820122,-0.0001076635493504341
pTll_170_350,0,1,1.0,1.7590902931006977e-08,1.7589902931006976e-08,0.00010597420077118613,-0.0002159100323275918,-0.0001334005543451866
pTll_50_76,1,2,1.0,2.288355330209307e-09,2.2873553302093072e-09,4.412592304525731e-05,-0.0002293230613352654,-0.00021989455210480457
pTll_76_106,2,3,1.0,1.305146093937103e-09,1.3041460939371029e-09,5.376114895572215e-05,-0.00018242882631599398,-0.00017054286686946085
