peak_freq,match_freq,abs_error,bins_error,ppm_error,k,m,period(=m/k)
0.003970000000,,8.694e-02,8693.91,21899015.34,,,nan
0.004750000000,,8.616e-02,8615.91,18138755.98,,,nan
0.007930000000,,8.298e-02,8297.91,10463945.89,,,nan
0.090910000000,0.090909090909,9.091e-07,0.09,10.00,1,11,11.000000
0.100000000000,0.100000000000,0.000e+00,0.00,0.00,1,10,10.000000
0.111110000000,0.111111111111,1.111e-06,0.11,10.00,1,9,9.000000
0.125000000000,0.125000000000,0.000e+00,0.00,0.00,1,8,8.000000
0.142860000000,0.142857142857,2.857e-06,0.29,20.00,1,7,7.000000
0.166670000000,0.166666666667,3.333e-06,0.33,20.00,1,6,6.000000
0.181820000000,0.181818181818,1.818e-06,0.18,10.00,2,11,5.500000
0.200000000000,0.200000000000,0.000e+00,0.00,0.00,1,5,5.000000
0.222220000000,0.222222222222,2.222e-06,0.22,10.00,2,9,4.500000
0.250000000000,0.250000000000,0.000e+00,0.00,0.00,1,4,4.000000
0.272730000000,0.272727272727,2.727e-06,0.27,10.00,3,11,3.666667
0.285710000000,0.285714285714,4.286e-06,0.43,15.00,2,7,3.500000
0.300000000000,0.300000000000,5.551e-17,0.00,0.00,3,10,3.333333
0.333330000000,0.333333333333,3.333e-06,0.33,10.00,1,3,3.000000
0.363640000000,0.363636363636,3.636e-06,0.36,10.00,4,11,2.750000
0.375000000000,0.375000000000,5.551e-17,0.00,0.00,3,8,2.666667
0.389680000000,,1.032e-02,1032.00,26483.27,,,nan
0.400000000000,0.400000000000,0.000e+00,0.00,0.00,2,5,2.500000
0.428570000000,0.428571428571,1.429e-06,0.14,3.33,3,7,2.333333
0.444440000000,0.444444444444,4.444e-06,0.44,10.00,4,9,2.250000
0.454550000000,0.454545454545,4.545e-06,0.45,10.00,5,11,2.200000
