label,forward_frac,cone_forward_frac,max_Qd_violation
atlas_4l_m4l_8tev,1.0,1.0,-4.896061656201976e-09
atlas_4l_pt4l_8tev,1.0,1.0,-1.496151823071021e-07
dijet_chi_13tev_cms_mgt6,1.0,1.0,-1.6466059893406242e-09
dijet_chi_7tev_cms,1.0,1.0,-6.863938878787577e-11
hgg_pt_8tev_atlas,1.0,1.0,-2.6711444961464944e-08
pTll_106_170,1.0,1.0,-6.418454633879116e-09
pTll_170_350,1.0,1.0,-4.938954089468716e-09
pTll_50_76,1.0,1.0,-1.2868631731204503e-08
pTll_76_106,1.0,1.0,-2.5206922302206268e-08
phistar_50_76,1.0,1.0,-5.765560882203728e-09
ttbar_mtt_8tev_cms,1.0,1.0,-7.686101933018032e-09
z_pt_7tev_atlas,1.0,1.0,-1.2096665804902197e-08
