iter,n,best_deg,best_bic,best_chi2dof,JB,JB_p,skew,excess_kurt,outlier_frac_gt3,R_hi_deg4,odd_even_ratio_raw_deg4,odd_even_ratio_evenproj_deg4
0,12,4,323.4241669995345,44.428519107227785,1.0090532236258933,0.9084201321961611,-0.1917111837658115,-1.367879283901994,0.5,0.08613567515585613,1.2391491209136025,2.379327419735988e-09
1,12,4,962.9492746415149,135.78924877036783,0.44978017770467377,0.9782021115545834,0.08590295091791729,-0.932761002349328,0.8333333333333334,0.07072652444011071,0.09274753324783185,3.780674176950193e-10
2,12,4,2237.873108516501,317.921225038223,1.5345295860175445,0.8205078867777811,-0.8382800110400165,-0.5081394143324136,0.75,0.059686051860984086,0.09857745777703576,1.4704038823615745e-09
3,6,4,169.03106344403554,160.07226609789527,0.29189869767096754,0.9903311174096162,0.22008508612509387,-0.9868358577519922,0.5,0.09523334396294257,1.43221267949932,0.005273432273824957
4,6,4,23.8788256698426,14.920028323702322,0.1707739365888155,0.9965555536808157,-0.1258069581619384,-0.787265002059296,0.16666666666666666,0.08145960595531691,0.9976372524592426,0.00033328389849531935
5,6,4,18.410024899048707,9.451227552908435,0.1891636910223322,0.9957994158166312,0.16264930178356748,-0.8067438147309223,0.0,0.0666762541217274,0.5181687498701616,0.00012052696576589563
6,6,4,144.20828527464556,135.2494879285053,0.36418528579103127,0.9853027260873644,0.3978262308830246,-0.9075672444781988,0.5,0.050946303064936964,0.24097541333723244,1.9447131213098372e-05
7,6,4,530.8149860475035,521.8561887013632,0.2909499204466091,0.9903908687976488,0.33071203437823476,-0.8522428545057292,0.6666666666666666,0.03740257766731003,0.13131292344059192,2.6049825404509364e-06
8,6,4,1238.9908075989208,1230.0320102527805,0.1639006467165534,0.996820011053039,0.17092380383624087,-0.733991008115777,0.6666666666666666,0.027521770006576445,0.0959158880967631,3.201979606842389e-07
9,6,4,2408.6606812754208,2399.7018839292805,0.10593150427099976,0.9986458740566189,-0.20428879241303557,-0.5067448808440926,0.6666666666666666,0.019603472297480457,0.0891960861191611,3.493198806190065e-08
10,6,4,3899.9769238825775,3891.018126536437,0.42340397393853335,0.9805162945255677,-0.644592307930064,-0.17781710261869632,0.6666666666666666,0.013715710600208455,0.10026735097647858,1.9851368898329023e-10
