alpha,odd_even_raw,odd_even_evenproj,odd_even_contracted,norm_raw,norm_contracted
9.999999999999999547e-07,7.611808357612952214e-02,0.000000000000000000e+00,0.000000000000000000e+00,5.275147107759294407e+00,5.262475568713599117e+00
1.000000000000000082e-05,7.611808357612952214e-02,0.000000000000000000e+00,0.000000000000000000e+00,5.275147107759294407e+00,5.262471935529969613e+00
1.000000000000000048e-04,7.611808357612952214e-02,0.000000000000000000e+00,0.000000000000000000e+00,5.275147107759294407e+00,5.262435626165824942e+00
1.000000000000000021e-03,7.611808357612952214e-02,0.000000000000000000e+00,0.000000000000000000e+00,5.275147107759294407e+00,5.262074765758664618e+00
1.000000000000000021e-02,7.611808357612952214e-02,0.000000000000000000e+00,0.000000000000000000e+00,5.275147107759294407e+00,5.258676513230564176e+00
1.000000000000000056e-01,7.611808357612952214e-02,0.000000000000000000e+00,0.000000000000000000e+00,5.275147107759294407e+00,5.237926514056910676e+00
1.000000000000000000e+00,7.611808357612952214e-02,0.000000000000000000e+00,0.000000000000000000e+00,5.275147107759294407e+00,5.214388462786870626e+00
1.000000000000000000e+01,7.611808357612952214e-02,0.000000000000000000e+00,0.000000000000000000e+00,5.275147107759294407e+00,5.212412828554475297e+00
1.000000000000000000e+02,7.611808357612952214e-02,0.000000000000000000e+00,0.000000000000000000e+00,5.275147107759294407e+00,5.212383311926572560e+00
1.000000000000000000e+03,7.611808357612952214e-02,0.000000000000000000e+00,0.000000000000000000e+00,5.275147107759294407e+00,5.212383003236570111e+00
