l_from,i,l_to,j,dE_Ha,dE_eV,freq_Hz,lambda_nm
0,0,1,4,0.45804968710888594,12.464166955773845,3013822161157041.5,99.47251097420632
0,0,1,3,0.4530436795994992,12.327946551885606,2980884214040571.0,100.57165474187711
0,0,1,2,0.44052866082603237,11.98739554216501,2898539346249395.0,103.42880402431679
0,0,1,1,0.4154986232790987,11.306293522723815,2733849610667043.0,109.65945486915516
0,0,1,0,0.347917521902378,9.467318070232597,2289187324594694.0,130.96021228978233
1,0,2,4,0.11263516896120129,3.0649590874853674,741103810120582.9,404.5215446284396
1,0,2,3,0.11013216520650793,2.996848885541248,724634836562347.6,413.71521609726784
0,1,1,4,0.10762916145181456,2.9287386835971283,708165863004112.5,423.3365001925531
1,0,0,4,0.10512615769712119,2.860628481653009,691696889445877.2,433.41594067332824
1,0,2,2,0.10512615769712119,2.860628481653009,691696889445877.2,433.41594067332824
0,1,1,3,0.10262315394242782,2.7925182797088897,675227915887642.0,443.9870611775558
1,0,0,3,0.09261113892365436,2.520077471932412,609352021654701.2,491.98566238594026
1,0,2,1,0.09261113892365436,2.520077471932412,609352021654701.2,491.98566238594026
0,1,1,2,0.09010813516896099,2.4519672699882924,592883048096466.0,505.6519307855498
1,0,0,2,0.07008410513141405,1.9070856544353374,461131259630584.3,650.1239110099931
1,0,2,0,0.06758110137672069,1.8389754524912179,444662286072349.1,674.2025743807336
0,1,1,1,0.06507809762202732,1.7708652505470985,428193312514113.94,700.1334426261465
1,1,2,4,0.045054067584480606,1.2259836349941493,296441524048233.75,1011.303861571097
1,1,2,3,0.04255106382978724,1.15787343305003,279972550489998.53,1070.7923240164557
2,0,1,4,0.04255106382978724,1.15787343305003,279972550489998.53,1070.7923240164557
0,2,1,4,0.04004806007509387,1.0897632311059104,263503576931763.3,1137.7168442674842
1,1,0,4,0.037545056320400505,1.0216530291617911,247034603373528.1,1213.5646338853164
1,1,2,2,0.037545056320400505,1.0216530291617911,247034603373528.1,1213.5646338853164
2,0,1,3,0.037545056320400505,1.0216530291617911,247034603373528.1,1213.5646338853164
0,2,1,3,0.03504205256570714,0.9535428272176717,230565629815292.9,1300.2478220199819
1,1,0,3,0.02503003754693367,0.6811020194411941,164689735582352.06,1820.3469508279748
1,1,2,1,0.02503003754693367,0.6811020194411941,164689735582352.06,1820.3469508279748
2,0,1,2,0.02503003754693367,0.6811020194411941,164689735582352.06,1820.3469508279748
0,2,1,2,0.022527033792240303,0.6129918174970747,148220762024116.88,2022.607723142194
1,2,2,4,0.020024030037546936,0.5448816155529552,131751788465881.66,2275.4336885349685
0,3,1,4,0.01752102628285357,0.47677141360883585,115282814907646.45,2600.4956440399637
1,2,2,3,0.01752102628285357,0.47677141360883585,115282814907646.45,2600.4956440399637
2,1,1,4,0.01752102628285357,0.47677141360883585,115282814907646.45,2600.4956440399637
0,3,1,3,0.012515018773466835,0.34055100972059704,82344867791176.03,3640.6939016559495
1,2,0,4,0.012515018773466835,0.34055100972059704,82344867791176.03,3640.6939016559495
1,2,2,2,0.012515018773466835,0.34055100972059704,82344867791176.03,3640.6939016559495
2,1,1,3,0.012515018773466835,0.34055100972059704,82344867791176.03,3640.6939016559495
1,3,2,4,0.007509011264080101,0.2043306058323582,49406920674705.625,6067.823169426581
0,4,1,4,0.005006007509386734,0.1362204038882388,32937947116470.414,9101.734754139874
1,3,2,3,0.005006007509386734,0.1362204038882388,32937947116470.414,9101.734754139874
2,2,1,4,0.005006007509386734,0.1362204038882388,32937947116470.414,9101.734754139874
1,0,0,1,0.002503003754693367,0.0681102019441194,16468973558235.207,18203.469508279748
1,1,0,2,0.002503003754693367,0.0681102019441194,16468973558235.207,18203.469508279748
1,4,2,4,0.002503003754693367,0.0681102019441194,16468973558235.207,18203.469508279748
