pos_scale,cone_frac_min,cone_frac_mean,max_Qd_violation_max
0.1,1.0,1.0,-5.996596460693846e-12
0.15,1.0,1.0,-5.9931251441471175e-12
0.2,1.0,1.0,-5.988265300981697e-12
0.25,1.0,1.0,-5.9820169311975855e-12
0.3,1.0,1.0,-5.974380034794782e-12
0.35,1.0,1.0,-5.9653546117732876e-12
0.4,1.0,1.0,-5.954940662133101e-12
0.45,1.0,1.0,-5.943138185874223e-12
0.5,0.5833333333333334,0.9615384615384616,0.32767516374789996
0.55,0.5833333333333334,0.9551282051282052,0.6971373859202253
0.6,0.5833333333333334,0.9551282051282052,1.1017864863946758
0.65,0.5833333333333334,0.9551282051282052,1.5416224651712533
0.7,0.5833333333333334,0.9487179487179488,2.016645322249956
0.75,0.5833333333333334,0.9423076923076924,2.5268550576307867
0.8,0.5833333333333334,0.935897435897436,3.072251671313743
0.85,0.5833333333333334,0.9230769230769232,3.652835163298824
0.9,0.5833333333333334,0.9230769230769232,4.268605533586033
0.95,0.5833333333333334,0.8974358974358976,4.919562782175367
1.0,0.5833333333333334,0.8846153846153848,5.605706909066828
