pos_scale,cone_frac_min,cone_frac_mean,max_Q,Q_p99
0.2,1.0,1.0,-5.943832449183569e-12,-4.7130839295702835e-11
0.202,1.0,1.0,-5.9432770385360926e-12,-4.7126435196447667e-11
0.204,0.875,0.9903846153846154,0.003955883368338853,0.0036789715321391414
0.206,0.875,0.9903846153846154,0.018030634689189418,0.016768490260530202
0.208,0.875,0.9903846153846154,0.03210538601003976,0.029858008988921055
0.21,0.75,0.9807692307692307,0.046180137330890325,0.042956420025675575
0.212,0.75,0.9807692307692307,0.06025488865174089,0.056273214730045144
0.214,0.75,0.9807692307692307,0.07432963997259123,0.06959000943441451
0.216,0.75,0.9807692307692307,0.0884043912934418,0.08290680413878407
0.218,0.75,0.9807692307692307,0.10247914261429236,0.09622359884315365
0.22,0.75,0.9807692307692307,0.1165538939351427,0.10954039354752301
