keep_frac,pos_scale,cone_frac_min,cone_frac_mean
1.0,0.1,1.0,1.0
1.0,0.11,1.0,1.0
1.0,0.12,1.0,1.0
1.0,0.13,1.0,1.0
1.0,0.14,1.0,1.0
1.0,0.15,1.0,1.0
1.0,0.16,1.0,1.0
1.0,0.17,1.0,1.0
1.0,0.18,1.0,1.0
1.0,0.19,1.0,1.0
1.0,0.2,1.0,1.0
1.0,0.21,0.8,0.9987179487179488
1.0,0.22,0.8,0.9976331360946745
1.0,0.23,0.6,0.9956043956043955
1.0,0.24,0.6,0.9938461538461539
1.0,0.25,0.6,0.9923076923076923
1.0,0.26,0.6,0.9909502262443439
1.0,0.27,0.6,0.9897435897435897
1.0,0.28,0.6,0.9882591093117409
1.0,0.29,0.6,0.986923076923077
1.0,0.3,0.6,0.9857142857142858
0.9,0.1,1.0,1.0
0.9,0.11,1.0,1.0
0.9,0.12,1.0,1.0
0.9,0.13,1.0,1.0
0.9,0.14,1.0,1.0
0.9,0.15,1.0,1.0
0.9,0.16,1.0,1.0
0.9,0.17,1.0,1.0
0.9,0.18,1.0,1.0
0.9,0.19,1.0,1.0
0.9,0.2,1.0,1.0
0.9,0.21,0.875,0.999198717948718
0.9,0.22,0.875,0.9985207100591716
0.9,0.23,0.625,0.9965659340659341
0.9,0.24,0.625,0.9948717948717949
0.9,0.25,0.625,0.9933894230769231
0.9,0.26,0.625,0.9920814479638009
0.9,0.27,0.625,0.9909188034188035
0.9,0.28,0.625,0.9893724696356275
0.9,0.29,0.625,0.9879807692307693
0.9,0.3,0.625,0.9867216117216118
0.8,0.1,1.0,1.0
0.8,0.11,1.0,1.0
0.8,0.12,1.0,1.0
0.8,0.13,1.0,1.0
0.8,0.14,1.0,1.0
0.8,0.15,1.0,1.0
0.8,0.16,1.0,1.0
0.8,0.17,1.0,1.0
0.8,0.18,1.0,1.0
0.8,0.19,1.0,1.0
0.8,0.2,1.0,1.0
0.8,0.21,0.875,0.999198717948718
0.8,0.22,0.875,0.9985207100591716
0.8,0.23,0.625,0.9965659340659341
0.8,0.24,0.625,0.9948717948717949
0.8,0.25,0.625,0.9933894230769231
0.8,0.26,0.625,0.9920814479638009
0.8,0.27,0.625,0.9909188034188035
0.8,0.28,0.625,0.9893724696356275
0.8,0.29,0.625,0.9879807692307693
0.8,0.3,0.625,0.9867216117216118
0.7,0.1,1.0,1.0
0.7,0.11,1.0,1.0
0.7,0.12,1.0,1.0
0.7,0.13,1.0,1.0
0.7,0.14,1.0,1.0
0.7,0.15,1.0,1.0
0.7,0.16,1.0,1.0
0.7,0.17,1.0,1.0
0.7,0.18,1.0,1.0
0.7,0.19,1.0,1.0
0.7,0.2,1.0,1.0
0.7,0.21,1.0,1.0
0.7,0.22,1.0,1.0
0.7,0.23,0.6666666666666666,0.9981684981684983
0.7,0.24,0.6666666666666666,0.9965811965811965
0.7,0.25,0.6666666666666666,0.9951923076923077
0.7,0.26,0.6666666666666666,0.9939668174962294
0.7,0.27,0.6666666666666666,0.9928774928774928
0.7,0.28,0.6666666666666666,0.9912280701754386
0.7,0.29,0.6666666666666666,0.9897435897435899
0.7,0.3,0.6666666666666666,0.9884004884004886
0.6,0.1,1.0,1.0
0.6,0.11,1.0,1.0
0.6,0.12,1.0,1.0
0.6,0.13,1.0,1.0
0.6,0.14,1.0,1.0
0.6,0.15,1.0,1.0
0.6,0.16,1.0,1.0
0.6,0.17,1.0,1.0
0.6,0.18,1.0,1.0
0.6,0.19,1.0,1.0
0.6,0.2,1.0,1.0
0.6,0.21,1.0,1.0
0.6,0.22,1.0,1.0
0.6,0.23,0.6666666666666666,0.9981684981684983
0.6,0.24,0.6666666666666666,0.9965811965811965
0.6,0.25,0.6666666666666666,0.9951923076923077
0.6,0.26,0.6666666666666666,0.9939668174962294
0.6,0.27,0.6666666666666666,0.9928774928774928
0.6,0.28,0.6666666666666666,0.9912280701754386
0.6,0.29,0.6666666666666666,0.9897435897435899
0.6,0.3,0.6666666666666666,0.9884004884004886
0.5,0.1,1.0,1.0
0.5,0.11,1.0,1.0
0.5,0.12,1.0,1.0
0.5,0.13,1.0,1.0
0.5,0.14,1.0,1.0
0.5,0.15,1.0,1.0
0.5,0.16,1.0,1.0
0.5,0.17,1.0,1.0
0.5,0.18,1.0,1.0
0.5,0.19,1.0,1.0
0.5,0.2,1.0,1.0
0.5,0.21,1.0,1.0
0.5,0.22,1.0,1.0
0.5,0.23,0.6666666666666666,0.9981684981684983
0.5,0.24,0.6666666666666666,0.9965811965811965
0.5,0.25,0.6666666666666666,0.9951923076923077
0.5,0.26,0.6666666666666666,0.9939668174962294
0.5,0.27,0.6666666666666666,0.9928774928774928
0.5,0.28,0.6666666666666666,0.9912280701754386
0.5,0.29,0.6666666666666666,0.9897435897435899
0.5,0.3,0.6666666666666666,0.9884004884004886
0.4,0.1,1.0,1.0
0.4,0.11,1.0,1.0
0.4,0.12,1.0,1.0
0.4,0.13,1.0,1.0
0.4,0.14,1.0,1.0
0.4,0.15,1.0,1.0
0.4,0.16,1.0,1.0
0.4,0.17,1.0,1.0
0.4,0.18,1.0,1.0
0.4,0.19,1.0,1.0
0.4,0.2,1.0,1.0
0.4,0.21,1.0,1.0
0.4,0.22,1.0,1.0
0.4,0.23,0.6666666666666666,0.9981684981684983
0.4,0.24,0.6666666666666666,0.9965811965811965
0.4,0.25,0.6666666666666666,0.9951923076923077
0.4,0.26,0.6666666666666666,0.9939668174962294
0.4,0.27,0.6666666666666666,0.9928774928774928
0.4,0.28,0.6666666666666666,0.9912280701754386
0.4,0.29,0.6666666666666666,0.9897435897435899
0.4,0.3,0.6666666666666666,0.9884004884004886
0.3,0.1,1.0,1.0
0.3,0.11,1.0,1.0
0.3,0.12,1.0,1.0
0.3,0.13,1.0,1.0
0.3,0.14,1.0,1.0
0.3,0.15,1.0,1.0
0.3,0.16,1.0,1.0
0.3,0.17,1.0,1.0
0.3,0.18,1.0,1.0
0.3,0.19,1.0,1.0
0.3,0.2,1.0,1.0
0.3,0.21,1.0,1.0
0.3,0.22,1.0,1.0
0.3,0.23,0.6666666666666666,0.9981684981684983
0.3,0.24,0.6666666666666666,0.9965811965811965
0.3,0.25,0.6666666666666666,0.9951923076923077
0.3,0.26,0.6666666666666666,0.9939668174962294
0.3,0.27,0.6666666666666666,0.9928774928774928
0.3,0.28,0.6666666666666666,0.9912280701754386
0.3,0.29,0.6666666666666666,0.9897435897435899
0.3,0.3,0.6666666666666666,0.9884004884004886
